ID,業種,店舗名,住所,建物名,経度,緯度
335,小売り,山上水産佃煮店,石津港町11-1,,138.3259423,34.84382751
336,小売り,有限会社ヤマシン村田商店,八楠4丁目13番地の7,,138.3043009,34.88067556
337,小売り,やまそう又平商店,駅北3-9-5,,138.3152416,34.87338499
338,小売り,やまや山もと商店,八楠4ｰ13ｰ7,焼津さかなセンター内,138.3036185,34.88035423
339,小売り,USA釣具店,石津港町２番地4,,138.3270206,34.8445634
340,小売り,洋品のイシダ,小土421-1,,138.2977269,34.8702458
341,小売り,洋品のさくらや,東祢宜島１７ー7,,138.3076087,34.83814883
342,小売り,洋服の青山焼津店,八楠2丁目29番地の4,,138.3086853,34.88037279
343,小売り,ヨシケイ水産,八楠4-13-7,焼津さかなセンター内,138.3043009,34.88067556
344,小売り,吉津屋商店,相川1057-1,,138.2640312,34.80708029
345,小売り,ラヴィエベル,黒石2丁目3番地の14,,138.3060475,34.84275808
346,小売り,ラボコスメSHIBAHARA,田尻1685番地,,138.3192328,34.82594979
347,小売り,ランジェリーブティックサチ,本町5-10-16,,138.321669,34.86248612
348,小売り,ランチステーション,栄町2丁目2-19,,138.3192648,34.87142167
349,小売り,リカーズグリーン,中新田251-3,,138.2917861,34.84459834
350,小売り,リトルエンゼル小川店,西小川4-2-3,,138.3085328,34.85334646
351,小売り,静岡福祉大学売店「りとるりりぃなるせ」,本中根549-1,,138.2970817,34.82997088
352,小売り,ルアーショップ・マスオカ,本町5-8-15,,138.3212806,34.86197143
353,小売り,100%JamaicaBlueMountainCoffee&ChocolateLENY,本町4-710-19,,138.3211345,34.86374309
354,小売り,LAWSON大井川下江留店,下江留1717-1,,138.2731317,34.81120699
355,小売り,ローソン焼津小川店,小川3267,,138.3219098,34.84870335
356,小売り,ローソン焼津市立総合病院店,道原1000番地,,138.3064984,34.83716285
357,小売り,ローソン焼津登呂田店,西小川3の1の5,,138.3108245,34.85791782
358,小売り,ローソン焼津西小川店,西小川6-20-8,,138.3015084,34.85443621
359,小売り,YS.NAKANO,駅北2-9-5,,138.3155929,34.87282167
360,小売り,わかくさ,吉永1171-1,,138.296092,34.79399867
361,小売り,和菓子工房吉野,栄町4-1-3,,138.3195253,34.870447
362,小売り,和菓子処昇栄堂,五ケ堀之内436,,138.3022581,34.86621974
363,小売り,綿屋,本町3-9-22,,138.3223757,34.86536562
364,小売り,和洋菓子ヤマカワ,本町3-9-28,,138.3224384,34.86593834
365,小売り,ワンにゃんかつお,大村2-29-21,,138.3065142,34.86994425
