全国地方公共団体コード,ID,地方公共団体名,種別,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,口径,備考
222127,55,静岡県焼津市,防火水そう,222127,0065000,静岡県焼津市花沢,静岡県,焼津市,花沢,,,34.906716,138.327173,,
222127,56,静岡県焼津市,防火水そう,222127,0068002,静岡県焼津市浜当目二丁目19番24号,静岡県,焼津市,浜当目二丁目,19番24号,,34.876062,138.331003,,
222127,57,静岡県焼津市,防火水そう,222127,0068003,静岡県焼津市浜当目三丁目13番13号,静岡県,焼津市,浜当目三丁目,13番13号,,34.880402,138.334184,,
222127,58,静岡県焼津市,防火水そう,222127,0068003,静岡県焼津市浜当目三丁目16番,静岡県,焼津市,浜当目三丁目,16番,,34.878505,138.334334,,
222127,59,静岡県焼津市,防火水そう,222127,0068002,静岡県焼津市浜当目二丁目12番20号,静岡県,焼津市,浜当目二丁目,12番20号,,34.877273,138.332725,,
222127,60,静岡県焼津市,防火水そう,222127,0069003,静岡県焼津市東小川三丁目8番,静岡県,焼津市,東小川三丁目,8番,,34.856701,138.316079,,
222127,61,静岡県焼津市,防火水そう,222127,0069004,静岡県焼津市東小川四丁目7番1号,静岡県,焼津市,東小川四丁目,7番1号,,34.853302,138.314797,,
222127,62,静岡県焼津市,防火水そう,222127,0073006,静岡県焼津市本町六丁目5番,静岡県,焼津市,本町六丁目,5番,,34.860913,138.320623,,
222127,63,静岡県焼津市,防火水そう,222127,0075000,静岡県焼津市策牛201番地,静岡県,焼津市,策牛,201番地,,34.895037,138.300222,,
222127,64,静岡県焼津市,防火水そう,222127,0075000,静岡県焼津市策牛427番地13,静岡県,焼津市,策牛,427番地13,,34.896203,138.301279,,
222127,65,静岡県焼津市,防火水そう,222127,0078002,静岡県焼津市焼津二丁目7番2号,静岡県,焼津市,焼津二丁目,7番2号,,34.865913,138.3144,,
222127,66,静岡県焼津市,防火水そう,222127,0078006,静岡県焼津市焼津六丁目5番18号,静岡県,焼津市,焼津六丁目,5番18号,,34.864249,138.318152,,
222127,67,静岡県焼津市,防火水そう,222127,0078005,静岡県焼津市焼津五丁目,静岡県,焼津市,焼津五丁目,,,34.862058,138.318713,,
222127,68,静岡県焼津市,防火水そう,222127,0078004,静岡県焼津市焼津四丁目9番,静岡県,焼津市,焼津四丁目,9番,,34.863347,138.314258,,
222127,69,静岡県焼津市,防火水そう,222127,0080003,静岡県焼津市八楠三丁目5番51号,静岡県,焼津市,八楠三丁目,5番51号,,34.878897,138.307888,,
222127,70,静岡県焼津市,防火水そう,222127,0082000,静岡県焼津市吉津,静岡県,焼津市,吉津,,,34.903121,138.325279,,
222127,71,静岡県焼津市,防火水そう,222127,0001000,静岡県焼津市相川2100番地,静岡県,焼津市,相川,2100番地,,34.805058,138.256996,,
222127,72,静岡県焼津市,防火水そう,222127,0001000,静岡県焼津市相川2461番地,静岡県,焼津市,相川,2461番地,,34.80271,138.260118,,
222127,73,静岡県焼津市,防火水そう,222127,0023000,静岡県焼津市上小杉887番地の95,静岡県,焼津市,上小杉,887番地の95,,34.819408,138.288104,,
222127,74,静岡県焼津市,防火水そう,222127,0023000,静岡県焼津市上小杉111番地の1,静岡県,焼津市,上小杉,111番地の1,,34.815514,138.284295,,
222127,75,静岡県焼津市,防火水そう,222127,0024000,静岡県焼津市上新田110番地の1,静岡県,焼津市,上新田,110番地の1,,34.821235,138.262408,,
222127,76,静岡県焼津市,防火水そう,222127,0024000,静岡県焼津市上新田971番地の1,静岡県,焼津市,上新田,971番地の1,,34.815765,138.271002,,
222127,77,静岡県焼津市,防火水そう,222127,0050000,静岡県焼津市高新田2126番地の1,静岡県,焼津市,高新田,2126番地の1,,34.80168,138.311595,,
222127,78,静岡県焼津市,防火水そう,222127,0061000,静岡県焼津市西島145番地の2,静岡県,焼津市,西島,145番地の2,,34.799046,138.266995,,
222127,79,静岡県焼津市,防火水そう,222127,0070000,静岡県焼津市藤守2716番地の1,静岡県,焼津市,藤守,2716番地の1,,34.807529,138.298903,,
222127,80,静岡県焼津市,防火水そう,222127,0070000,静岡県焼津市藤守1851番地2,静岡県,焼津市,藤守,1851番地2,,34.810656,138.319234,,
