NO,都道府県コード又は市区町村コード,都道府県名,市区町村名,名称,名称_カナ,住所,緯度,経度,備考
27,222127,静岡県,焼津市,八楠第二,ヤグスダイニ,静岡県焼津市八楠４－４－４１,34.88010049,138.3020909,
28,222127,静岡県,焼津市,小土,コヒジ,静岡県焼津市小土３０１－２,34.86819277,138.2930236,
29,222127,静岡県,焼津市,小川第二,コガワダイニ,静岡県焼津市小川２５２５,34.850067,138.316696,
30,222127,静岡県,焼津市,西小川,ニシコガワ,静岡県焼津市西小川１－１,34.86131437,138.3122856,
31,222127,静岡県,焼津市,小川新町第一,コガワシンマチダイイチ,静岡県焼津市小川新町１－１１－２,34.85881,138.321487,
32,222127,静岡県,焼津市,中根新田第一,ナカネシンデンダイイチ,静岡県焼津市中根新田４９－６,34.838882,138.298782,
33,222127,静岡県,焼津市,大住第二,オオズミダイニ,静岡県焼津市大住１２４６,34.850651,138.300873,
34,222127,静岡県,焼津市,中新田第二,ナカシンデンダイニ,静岡県焼津市中新田１０３４,34.83867592,138.2852393,
35,222127,静岡県,焼津市,三ケ名第二,サンガミョウダイニ,静岡県焼津市三ケ名１５８２,34.86568648,138.3039297,
36,222127,静岡県,焼津市,石津第五,イシズダイゴ,静岡県焼津市石津２４２０,34.84474347,138.3314814,
37,222127,静岡県,焼津市,石津第一,イシズダイイチ,静岡県焼津市石津向町２４－１,34.84098281,138.3201023,
38,222127,静岡県,焼津市,一色第二,イッシキダイニ,静岡県焼津市一色１０４３,34.82427869,138.3105857,
39,222127,静岡県,焼津市,一色第三,イッシキダイサン,静岡県焼津市一色１５４５－１９,34.81509238,138.3240868,
40,222127,静岡県,焼津市,田尻北第二,タジリキタダイニ,静岡県焼津市田尻北１２８４－１,34.832709,138.333471,
41,222127,静岡県,焼津市,駅北第二,エキキタダイニ,静岡県焼津市駅北５－１－２４,34.87513487,138.3203827,
42,222127,静岡県,焼津市,小屋敷,コヤシキ,静岡県焼津市小屋敷５７３,34.85868286,138.2809779,
43,222127,静岡県,焼津市,五ケ堀之内第三,ゴカホリノウチダイサン,静岡県焼津市五ケ堀之内１５５２－１,34.853921,138.294032,
44,222127,静岡県,焼津市,保福島,ホフクジマ,静岡県焼津市保福島１５７,34.8675598,138.281642,
45,222127,静岡県,焼津市,小川第一,コガワダイイチ,静岡県焼津市西小川４－５１,34.85450479,138.3073678,
46,222127,静岡県,焼津市,石津第三,イシヅダイサン,静岡県焼津市石津１００７,34.84517214,138.3240813,
47,222127,静岡県,焼津市,石脇上第二,イシワキカミダイニ,静岡県焼津市石脇上６８５－１９,34.89107955,138.3210947,
48,222127,静岡県,焼津市,関方,セキガタ,静岡県焼津市関方１１８,34.89351573,138.3025982,
49,222127,静岡県,焼津市,花沢,ハナザワ,静岡県焼津市花沢１５２－５,34.906387,138.330599,
50,222127,静岡県,焼津市,高崎,タカサキ,静岡県焼津市高崎４００－３,34.89516878,138.3271953,
51,222127,静岡県,焼津市,大住第一,オオズミダイイチ,静岡県焼津市大住１８－２１,34.85003027,138.2861047,
52,222127,静岡県,焼津市,中新田第一,ナカシンデンダイイチ,静岡県焼津市中新田４１７－３,34.84304925,138.2927338,
