事故内容,事故内容区分,事故類型,事故類型区分,天候,天候区分,昼夜,昼夜区分,時間帯区分,曜日(発生年月日),曜日区分,死者数,発生日時　　分,発生日時　　年,発生日時　　日,発生日時　　時,発生日時　　月,発生日時（年月日）,発生日時（時間）,負傷者数,路線,路線コード,道路形状,道路形状区分,件数,経度,緯度
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,2,月,0,05,2021,01,07,02,2021-02-01,07:05,2,一般国道（国道番号）,150,1,交差点－その他,1,138.3110555,34.81
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,2,月,0,10,2021,29,07,11,2021-11-29,07:10,2,主要地方道－都道府県道,1030,1,交差点－その他,1,138.2836388,34.8712777
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,3,火,0,30,2021,09,06,03,2021-03-09,06:30,1,一般国道（国道番号）,150,7,交差点付近－その他,1,138.2996666,34.8689166
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,3,火,0,40,2021,21,07,12,2021-12-21,07:40,1,一般市町村道,3700,7,交差点付近－その他,1,138.2991944,34.8540833
2,負傷,21,車両相互,1,晴,11,昼－明,3-6時,3,火,0,00,2021,18,05,05,2021-05-18,05:00,1,一般市町村道,3700,13,単路－カーブ・屈折,1,138.2856388,34.8335555
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,3,火,0,39,2021,05,06,10,2021-10-05,06:39,2,一般都道府県道,2224,1,交差点－その他,1,138.2932777,34.8425277
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,4,水,0,36,2021,20,07,01,2021-01-20,07:36,1,一般都道府県道,2355,1,交差点－その他,1,138.3278055,34.8443888
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,4,水,0,29,2021,03,07,02,2021-02-03,07:29,1,一般市町村道,3700,1,交差点－その他,1,138.2978888,34.8701388
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,4,水,0,10,2021,24,07,02,2021-02-24,07:10,1,一般市町村道,3700,1,交差点－その他,1,138.2984166,34.8603333
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,4,水,0,05,2021,01,06,09,2021-09-01,06:05,1,一般市町村道,3700,1,交差点－その他,1,138.3102777,34.8745
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,4,水,0,29,2021,15,07,12,2021-12-15,07:29,1,一般市町村道,3700,1,交差点－その他,1,138.299,34.8660833
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,4,水,0,14,2021,24,07,11,2021-11-24,07:14,1,一般国道（国道番号）,150,14,単路－その他,1,138.3004444,34.837
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,4,水,0,48,2021,17,06,11,2021-11-17,06:48,2,一般市町村道,3700,14,単路－その他,1,138.2503055,34.8186666
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,5,木,0,45,2021,07,07,01,2021-01-07,07:45,1,一般国道（国道番号）,150,1,交差点－その他,1,138.2801944,34.8169722
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,5,木,0,15,2021,02,07,12,2021-12-02,07:15,1,一般都道府県道,2227,1,交差点－その他,1,138.2803055,34.8145555
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,5,木,0,25,2021,09,07,12,2021-12-09,07:25,1,一般市町村道,3700,7,交差点付近－その他,1,138.2990833,34.8699444
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,5,木,0,45,2021,21,07,01,2021-01-21,07:45,1,一般都道府県道,2222,14,単路－その他,1,138.2920833,34.8626111
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,5,木,0,55,2021,07,06,01,2021-01-07,06:55,3,一般市町村道,3700,1,交差点－その他,1,138.3256388,34.8624722
2,負傷,21,車両相互,1,晴,11,昼－明,3-6時,6,金,0,59,2021,11,04,06,2021-06-11,04:59,1,一般の交通の用に供するその他の道路,9900,0,一般交通の場所,1,138.2735833,34.7997222
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,6,金,0,30,2021,29,07,01,2021-01-29,07:30,1,一般市町村道,3700,1,交差点－その他,1,138.2961388,34.8752222
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,6,金,0,15,2021,19,07,02,2021-02-19,07:15,1,一般都道府県道,2342,14,単路－その他,1,138.2593888,34.8009166
2,負傷,21,車両相互,1,晴,11,昼－明,6-9時,7,土,0,45,2021,23,06,10,2021-10-23,06:45,1,一般市町村道,3700,1,交差点－その他,1,138.3139166,34.8683055
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,1,日,0,40,2021,28,14,02,2021-02-28,14:40,1,一般の交通の用に供するその他の道路,9900,0,一般交通の場所,1,138.2731944,34.8111111
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,1,日,0,25,2021,11,09,04,2021-04-11,09:25,1,一般の交通の用に供するその他の道路,9900,0,一般交通の場所,1,138.3000555,34.8539444
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,1,日,0,40,2021,11,09,04,2021-04-11,09:40,1,一般市町村道,3700,1,交差点－その他,1,138.3144444,34.8618611
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,1,日,0,24,2021,09,10,05,2021-05-09,10:24,1,一般市町村道,3700,1,交差点－その他,1,138.3231666,34.83325
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,1,日,0,25,2021,13,10,06,2021-06-13,10:25,1,一般市町村道,3700,1,交差点－その他,1,138.3183055,34.8566388
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,1,日,0,10,2021,29,10,08,2021-08-29,10:10,1,一般市町村道,3700,1,交差点－その他,1,138.3198611,34.8623888
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,1,日,0,29,2021,14,13,11,2021-11-14,13:29,1,一般市町村道,3700,1,交差点－その他,1,138.3033888,34.8787777
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,1,日,0,50,2021,26,10,12,2021-12-26,10:50,1,一般市町村道,3700,1,交差点－その他,1,138.29925,34.8433333
2,負傷,21,車両相互,1,晴,12,昼－昼,15-18時,1,日,0,15,2021,30,17,05,2021-05-30,17:15,1,一般都道府県道,2416,7,交差点付近－その他,1,138.3255833,34.8750555
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,1,日,0,00,2021,25,11,07,2021-07-25,11:00,1,一般国道（国道番号）,150,7,交差点付近－その他,1,138.2734444,34.8111666
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,1,日,0,18,2021,01,12,08,2021-08-01,12:18,1,一般市町村道,3700,7,交差点付近－その他,1,138.3007777,34.8594444
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,1,日,0,44,2021,03,11,10,2021-10-03,11:44,1,一般都道府県道,2416,7,交差点付近－その他,1,138.3068611,34.8347777
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,1,日,0,57,2021,03,11,10,2021-10-03,11:57,1,一般都道府県道,2416,7,交差点付近－その他,1,138.3201666,34.8663888
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,1,日,0,59,2021,18,13,04,2021-04-18,13:59,1,一般市町村道,3700,14,単路－その他,1,138.2913333,34.8463055
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,1,日,0,00,2021,23,13,05,2021-05-23,13:00,1,一般市町村道,3700,14,単路－その他,1,138.3270277,34.8308888
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,1,日,0,09,2021,21,12,02,2021-02-21,12:09,2,一般市町村道,3700,1,交差点－その他,1,138.3096944,34.8721388
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,1,日,0,50,2021,30,10,05,2021-05-30,10:50,2,一般市町村道,3700,1,交差点－その他,1,138.3122777,34.8323611
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,1,日,0,00,2021,29,09,08,2021-08-29,09:00,2,一般市町村道,3700,1,交差点－その他,1,138.3055555,34.8783611
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,1,日,0,35,2021,19,13,12,2021-12-19,13:35,2,一般市町村道,3700,7,交差点付近－その他,1,138.2991388,34.8541388
2,負傷,21,車両相互,1,晴,12,昼－昼,6-9時,1,日,0,00,2021,21,08,11,2021-11-21,08:00,2,一般市町村道,3700,12,単路－橋,1,138.3020555,34.7973888
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,1,日,0,34,2021,18,13,04,2021-04-18,13:34,2,一般市町村道,3700,14,単路－その他,1,138.3109166,34.8575
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,1,日,0,14,2021,18,13,07,2021-07-18,13:14,2,一般国道（国道番号）,150,14,単路－その他,1,138.3323888,34.8939722
2,負傷,21,車両相互,1,晴,12,昼－昼,15-18時,1,日,0,00,2021,18,16,07,2021-07-18,16:00,3,一般の交通の用に供するその他の道路,9900,0,一般交通の場所,1,138.3189722,34.8307777
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,1,日,0,10,2021,25,13,07,2021-07-25,13:10,4,一般市町村道,3700,1,交差点－その他,1,138.2950833,34.8548888
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,2,月,0,30,2021,25,12,01,2021-01-25,12:30,1,一般の交通の用に供するその他の道路,9900,0,一般交通の場所,1,138.3247222,34.8675277
2,負傷,21,車両相互,1,晴,12,昼－昼,6-9時,2,月,0,35,2021,10,07,05,2021-05-10,07:35,1,一般の交通の用に供するその他の道路,9900,0,一般交通の場所,1,138.3030277,34.8813333
2,負傷,21,車両相互,1,晴,12,昼－昼,6-9時,2,月,0,20,2021,21,07,06,2021-06-21,07:20,1,一般の交通の用に供するその他の道路,9900,0,一般交通の場所,1,138.2864722,34.7881111
2,負傷,21,車両相互,1,晴,12,昼－昼,6-9時,2,月,0,48,2021,15,08,03,2021-03-15,08:48,1,一般市町村道,3700,1,交差点－その他,1,138.3163611,34.8677777
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,2,月,0,04,2021,01,14,03,2021-03-01,14:04,1,一般市町村道,3700,1,交差点－その他,1,138.2746666,34.81075
2,負傷,21,車両相互,1,晴,12,昼－昼,15-18時,2,月,0,10,2021,15,15,03,2021-03-15,15:10,1,一般市町村道,3700,1,交差点－その他,1,138.292,34.83825
2,負傷,21,車両相互,1,晴,12,昼－昼,6-9時,2,月,0,47,2021,12,06,04,2021-04-12,06:47,1,一般市町村道,3700,1,交差点－その他,1,138.3231944,34.8414722
2,負傷,21,車両相互,1,晴,12,昼－昼,12-15時,2,月,0,55,2021,26,13,04,2021-04-26,13:55,1,一般市町村道,3700,1,交差点－その他,1,138.31575,34.8413888
2,負傷,21,車両相互,1,晴,12,昼－昼,6-9時,2,月,0,33,2021,03,07,05,2021-05-03,07:33,1,主要地方道－都道府県道,1031,1,交差点－その他,1,138.3023611,34.8028333
2,負傷,21,車両相互,1,晴,12,昼－昼,6-9時,2,月,0,46,2021,31,06,05,2021-05-31,06:46,1,一般市町村道,3700,1,交差点－その他,1,138.2923888,34.794
2,負傷,21,車両相互,1,晴,12,昼－昼,15-18時,2,月,0,08,2021,10,17,05,2021-05-10,17:08,1,一般市町村道,3700,1,交差点－その他,1,138.2846388,34.8351388
2,負傷,21,車両相互,1,晴,12,昼－昼,6-9時,2,月,0,23,2021,14,06,06,2021-06-14,06:23,1,主要地方道－都道府県道,1081,1,交差点－その他,1,138.3035,34.8815
2,負傷,21,車両相互,1,晴,12,昼－昼,6-9時,2,月,0,20,2021,14,07,06,2021-06-14,07:20,1,一般市町村道,3700,1,交差点－その他,1,138.30325,34.8544722
2,負傷,21,車両相互,1,晴,12,昼－昼,6-9時,2,月,0,32,2021,21,08,06,2021-06-21,08:32,1,一般市町村道,3700,1,交差点－その他,1,138.2876111,34.845
2,負傷,21,車両相互,1,晴,12,昼－昼,9-12時,2,月,0,20,2021,21,10,06,2021-06-21,10:20,1,一般市町村道,3700,1,交差点－その他,1,138.30425,34.8727777
2,負傷,21,車両相互,1,晴,12,昼－昼,15-18時,2,月,0,57,2021,07,17,06,2021-06-07,17:57,1,一般市町村道,3700,1,交差点－その他,1,138.2881111,34.7990833
2,負傷,21,車両相互,1,晴,12,昼－昼,6-9時,2,月,0,05,2021,26,07,07,2021-07-26,07:05,1,一般国道（国道番号）,150,1,交差点－その他,1,138.2999166,34.8422777
2,負傷,21,車両相互,1,晴,12,昼－昼,6-9時,2,月,0,12,2021,12,08,07,2021-07-12,08:12,1,一般市町村道,3700,1,交差点－その他,1,138.2917777,34.8650833
2,負傷,21,車両相互,1,晴,12,昼－昼,15-18時,2,月,0,25,2021,19,17,07,2021-07-19,17:25,1,一般市町村道,3700,1,交差点－その他,1,138.3125555,34.84125
