ID,学区,学区No.,学区ごとNo,URL,経度,緯度
75,東益津,1,75,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3285662,34.87929145
76,東益津,1,76,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3245009,34.88050807
77,東益津,1,77,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3298384,34.87683893
78,東益津,1,78,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3275656,34.87751807
79,東益津,1,79,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3310237,34.87623
80,東益津,1,80,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3326506,34.87856306
81,東益津,1,81,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3327486,34.87905757
82,東益津,1,82,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3337604,34.87853564
83,東益津,1,83,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3325231,34.88138058
84,東益津,1,84,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3337567,34.88063314
85,東益津,1,85,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3324646,34.87975502
86,東益津,1,86,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3343133,34.88072116
87,東益津,1,87,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3331359,34.88068755
88,東益津,1,88,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3310926,34.87930148
89,東益津,1,89,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.333592,34.88101118
90,東益津,1,90,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3339981,34.88145337
91,東益津,1,91,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3339281,34.88190618
92,東益津,1,92,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3348237,34.88193445
93,焼津東,2,1,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3138411,34.86696057
94,焼津東,2,2,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3147598,34.86678113
95,焼津東,2,3,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3151084,34.86664085
96,焼津東,2,4,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3176097,34.8662578
97,焼津東,2,5,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3193309,34.86677061
98,焼津東,2,6,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3192181,34.86574951
99,焼津東,2,7,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3194078,34.86543724
100,焼津東,2,8,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3194412,34.86520389
101,焼津東,2,9,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3195884,34.864937
102,焼津東,2,10,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3249076,34.86479396
103,焼津東,2,11,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.324342,34.86541977
104,焼津東,2,12,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3224189,34.86563477
105,焼津東,2,13,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3231303,34.86543424
106,焼津東,2,14,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3230206,34.8647567
107,焼津東,2,15,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3224717,34.86495314
108,焼津東,2,16,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.322022,34.8650503
109,焼津東,2,17,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3219323,34.86469813
110,焼津東,2,18,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3229128,34.86445923
111,焼津東,2,19,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3227598,34.86415673
112,焼津東,2,20,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3222984,34.86414696
113,焼津東,2,21,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3220401,34.86386198
114,焼津東,2,22,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3207759,34.86902062
115,焼津東,2,23,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3181054,34.86942314
116,焼津東,2,24,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3221839,34.8673406
117,焼津東,2,25,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3236376,34.86713618
118,焼津東,2,26,https://www.city.yaizu.lg.jp/child-edu/youth/kyoiku/mamoruie.html,138.3230586,34.86892002
