都道府県,都道府県コード,市区町村,市区町村コード,緯度,経度,イベント,発生件数,リンク
静岡県,22,焼津市,212,34.861011,138.281416,急ブレーキ,1,"https://www.google.com/maps?q=34.861011,138.281416"
静岡県,22,焼津市,212,34.842885,138.312117,急ブレーキ,1,"https://www.google.com/maps?q=34.842885,138.312117"
静岡県,22,焼津市,212,34.874164,138.299474,急ブレーキ,1,"https://www.google.com/maps?q=34.874164,138.299474"
静岡県,22,焼津市,212,34.827661,138.310854,急ブレーキ,1,"https://www.google.com/maps?q=34.827661,138.310854"
静岡県,22,焼津市,212,34.843145,138.323041,急ブレーキ,1,"https://www.google.com/maps?q=34.843145,138.32304099"
静岡県,22,焼津市,212,34.83302,138.333562,急ブレーキ,1,"https://www.google.com/maps?q=34.83302,138.333562"
静岡県,22,焼津市,212,34.868038,138.314716,急ブレーキ,1,"https://www.google.com/maps?q=34.868038,138.314716"
静岡県,22,焼津市,212,34.867347,138.320535,急ブレーキ,1,"https://www.google.com/maps?q=34.867347,138.320535"
静岡県,22,焼津市,212,34.847307,138.299758,急ブレーキ,1,"https://www.google.com/maps?q=34.847307,138.299758"
静岡県,22,焼津市,212,34.862399,138.319227,急ブレーキ,2,"https://www.google.com/maps?q=34.862399,138.319227"
静岡県,22,焼津市,212,34.869487,138.323904,急ブレーキ,1,"https://www.google.com/maps?q=34.869487,138.323904"
静岡県,22,焼津市,212,34.862544,138.325586,急ブレーキ,1,"https://www.google.com/maps?q=34.862544,138.32558599"
静岡県,22,焼津市,212,34.846838,138.29979,急ブレーキ,2,"https://www.google.com/maps?q=34.846838,138.29979"
静岡県,22,焼津市,212,34.79152899,138.30504,急ブレーキ,1,"https://www.google.com/maps?q=34.79152899,138.30504"
静岡県,22,焼津市,212,34.866109,138.322932,急ブレーキ,1,"https://www.google.com/maps?q=34.866109,138.322932"
静岡県,22,焼津市,212,34.871912,138.323067,急ブレーキ,1,"https://www.google.com/maps?q=34.871912,138.323067"
静岡県,22,焼津市,212,34.830875,138.300852,急ブレーキ,1,"https://www.google.com/maps?q=34.830875,138.300852"
静岡県,22,焼津市,212,34.829745,138.318095,急ブレーキ,1,"https://www.google.com/maps?q=34.829745,138.318095"
静岡県,22,焼津市,212,34.832485,138.325108,急ブレーキ,2,"https://www.google.com/maps?q=34.832485,138.325108"
静岡県,22,焼津市,212,34.885688,138.307799,急ブレーキ,1,"https://www.google.com/maps?q=34.885688,138.30779899"
静岡県,22,焼津市,212,34.880529,138.306656,急ブレーキ,1,"https://www.google.com/maps?q=34.880529,138.306656"
静岡県,22,焼津市,212,34.864312,138.306998,急ブレーキ,1,"https://www.google.com/maps?q=34.864312,138.306998"
静岡県,22,焼津市,212,34.885257,138.323648,急ブレーキ,1,"https://www.google.com/maps?q=34.885257,138.323648"
静岡県,22,焼津市,212,34.880221,138.315609,急ブレーキ,1,"https://www.google.com/maps?q=34.880221,138.315609"
静岡県,22,焼津市,212,34.877366,138.304074,急ブレーキ,1,"https://www.google.com/maps?q=34.877366,138.304074"
静岡県,22,焼津市,212,34.844428,138.325605,急ブレーキ,1,"https://www.google.com/maps?q=34.844428,138.325605"
静岡県,22,焼津市,212,34.852348,138.310874,急ブレーキ,1,"https://www.google.com/maps?q=34.852348,138.310874"
静岡県,22,焼津市,212,34.86401699,138.309443,急ブレーキ,1,"https://www.google.com/maps?q=34.86401699,138.30944299"
静岡県,22,焼津市,212,34.87760999,138.305296,急ブレーキ,1,"https://www.google.com/maps?q=34.87760999,138.305296"
静岡県,22,焼津市,212,34.788268,138.299523,急ブレーキ,1,"https://www.google.com/maps?q=34.788268,138.299523"
静岡県,22,焼津市,212,34.819032,138.301921,急ブレーキ,1,"https://www.google.com/maps?q=34.819032,138.301921"
静岡県,22,焼津市,212,34.85407699,138.317249,急ブレーキ,1,"https://www.google.com/maps?q=34.85407699,138.317249"
静岡県,22,焼津市,212,34.79966499,138.312217,急ブレーキ,1,"https://www.google.com/maps?q=34.79966499,138.312217"
静岡県,22,焼津市,212,34.84465999,138.322755,急ブレーキ,1,"https://www.google.com/maps?q=34.84465999,138.322755"
