都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考
222127,0000010928,静岡県,焼津市,養護老人ホーム慈恵園,ヨウゴロウジンホームジケイエン,,,焼津市大覚寺3-2-3,,34.87534949,138.304343,,,,地域包括ケア推進課,,,,【開館時間】8：00～18：00 【休館日】なし,,,,
222127,0000010929,静岡県,焼津市,放課後等デイサービス（くれよん）,ホウガゴトウデイサービスクレヨン,,,焼津市宗高426-4,,34.80715506,138.2920465,,,,地域福祉課,,,,【開館時間】平日　15:00～18:00   夏休み等　9:00～16:00 【休館日】土、日、祝日,,,,
222127,0000010930,静岡県,焼津市,大井川図書館,オオイガワトショカン,,,焼津市宗高909-1,,34.80424717,138.2855003,,,,図書課,,,,【開館時間】9:00～19:00 (土・日・祝休日は9:00～17:00) 【休館日】月曜日 (祝休日の場合は、翌平日) 月末日 (土・日・祝休日の場合は、直前の平日),,,,
222127,0000010932,静岡県,焼津市,田尻スポーツ広場,タジリスポーツヒロバ,,,焼津市田尻2058,,34.825918,138.322487,,,,スポーツ課,,,,【開館時間】8:30～21:00 【休館日】年末年始,,,,
222127,0000010933,静岡県,焼津市,ディスカバリーパーク焼津温水プール（水夢館）,ディスカバリーパークヤイヅオンスイプールスイムカン,,,焼津市田尻2968-1,,34.82114277,138.3299794,,,,スポーツ課,,,,【開館時間】10:00～20:30 【休館日】月曜日,,,,
222127,0000010934,静岡県,焼津市,大井川体育館,オオイガワタイイクカン,,,焼津市中島1183,,34.79676822,138.2725785,,,,スポーツ課,,,,【開館時間】8:30～21:00 【休館日】毎週月曜日、年末年始,,,,
222127,0000010935,静岡県,焼津市,大島体育館,オオジマタイイクカン,,,焼津市大島738,,34.822034,138.288261,,,,総務課,,,,【開館時間】9:00～21:00 【休館日】なし,,,,
222127,0000010936,静岡県,焼津市,宮島会館,ミヤジマカイカン,,,焼津市三ケ名647-27,,34.85726124,138.2973614,,,,総務課,,,,【開館時間】9:00～21:00 【休館日】なし,,,,
222127,0000010937,静岡県,焼津市,小川第１３コミュニティ防災センター,コガワダイジュウサンコミュニティボウサイセンター,,,焼津市小川3118,,34.851266,138.320045,,,,地域防災課,,,,【開館時間】8:30-21:00,,,,
222127,0000010938,静岡県,焼津市,吉永地区コミュニティ防災センター,ヨシナガチクコミュニティボウサイセンター,,,焼津市吉永1933-1,,34.79122886,138.3042426,,,,地域防災課,,,,【開館時間】8:30～21:00,,,,
222127,0000010939,静岡県,焼津市,高新田東地区コミュニティ防災センター,タカシンデンヒガシチクコミュニティボウサイセンター,,,焼津市高新田2172-2,,34.79859474,138.3062618,,,,地域防災課,,,,【開館時間】8:30～21:00,,,,
222127,0000010940,静岡県,焼津市,藤守地区コミュニティ防災センター,フジモリチクコミュニティボウサイセンター,,,焼津市藤守2025,,34.808219,138.317762,,,,地域防災課,,,,【開館時間】8:30～21:00,,,,
222127,0000010941,静岡県,焼津市,下小杉地区コミュニティ防災センター,シモコスギチクコミュニティボウサイセンター,,,焼津市下小杉537,,34.81270752,138.3155522,,,,地域防災課,,,,【開館時間】8:30～21:00,,,,
222127,0000010942,静岡県,焼津市,利右衛門地区集落センター,リエモンチクシュウラクセンター,,,焼津市利右衛門847,,34.79263485,138.293352,,,,総務課,,,,【開館時間】9:00～21:00 【休館日】なし,,,,
222127,0000010943,静岡県,焼津市,高新田第４地区学習等供用施設,タカシンデンダイヨンチクガクシュウトウヘイヨウシセツ,,,焼津市高新田2209-2,,34.79859474,138.3062618,,,,総務課,,,,【開館時間】9:00～21:00 【休館日】なし,,,,
222127,0000010944,静岡県,焼津市,上小杉第３地区学習等供用施設,カミコスギダイサンチクガクシュウトウヘイヨウシセツ,,,焼津市上小杉1178-2,,34.81781007,138.286765,,,,総務課,,,,【開館時間】9:00～21:00 【休館日】なし,,,,
222127,0000010945,静岡県,焼津市,上泉地区学習等供用施設,カミイズミチクガクシュウトウヘイヨウシセツ,,,焼津市上泉1489,,34.818094,138.259434,,,,総務課,,,,【開館時間】9:00～21:00 【休館日】なし,,,,
222127,0000010946,静岡県,焼津市,下江留地区学習等供用施設,シモエドメチクガクシュウトウヘイヨウシセツ,,,焼津市下江留799,,34.804262,138.277325,,,,総務課,,,,【開館時間】9:00～21:00 【休館日】なし,,,,
222127,0000010947,静岡県,焼津市,港地域交流センター,ミナトチイキコウリュウセンター,,,焼津市石津港町40-1,,34.84124155,138.3262067,,,,スマイルライフ推進課,,,,【開館時間】9:00～21:30 【休館日】月曜日,,,,
222127,0000010948,静岡県,焼津市,焼津地域交流センター,ヤイヅチイキコウリュウセンター,,,焼津市本町5-6-1,,34.86313333,138.320437,,,,スマイルライフ推進課,,,,【開館時間】9:00～21:30 【休館日】12月29日から翌年１月３日まで,,,,
222127,0000010949,静岡県,焼津市,水防倉庫（小土）,スイボウソウココヒジ,,,焼津市小土1329-1,,34.868979,138.28597,,,,河川課,,,,,,,,
222127,0000010950,静岡県,焼津市,自主防災倉庫（第21自主防災会）,ジシュボウサイソウコダイニジュウイチジシュボウサイカイ,,,焼津市惣右衛門497,,34.820297,138.311855,,,,地域防災課,,,,,,,,
222127,0000010951,静岡県,焼津市,大井川防災備蓄倉庫,オオイガワボウサイビチクソウコ,,,焼津市宗高989-1,,34.80522914,138.283541,,,,地域防災課,,,,,,,,
222127,0000010952,静岡県,焼津市,焼津駅北口自転車駐車場,ヤイヅエキキタグチジテンシャチュウシャジョウ,,,焼津市駅北1-1-1,,34.87295703,138.3184848,,,,道路課,,,,【開館時間】6：30～21：00,,,,
222127,0000010954,静岡県,焼津市,大井川港港湾会館(港湾施設用）,オオイガワコウコウワンカイカンコウワンシセツヨウ,,,焼津市飯淵2160,,34.77985329,138.2975497,,,,大井川港管理事務所,,,,【開館時間】9:00～21:00,,,,
222127,0000010959,静岡県,焼津市,消防団第５分団車庫・詰所,ショウボウダンダイゴブンダンシャコツメショ,,,焼津市八楠1-18-1,,34.88207319,138.3055559,,,,地域防災課,,,,,,,,
222127,0000010960,静岡県,焼津市,消防団第12分団車庫・詰所,ショウボウダンダイジュウニブンダンシャコツメショ,,,焼津市中新田518-1,,34.83901919,138.2947829,,,,地域防災課,,,,,,,,
222127,0000010966,静岡県,焼津市,大井川福祉センター（ほほえみ）,オオイガワフクシセンターホホエミ,,,焼津市宗高572-1,,34.8032935,138.2906189,,,,地域福祉課,,,,【開館時間】9：00～21：30 【休館日】月の第3日曜日、祝日,,,,
222127,0000010968,静岡県,焼津市,一色水道用地,イッシキスイドウヨウチ,,,焼津市一色1042,,34.81446717,138.3253875,,,,スポーツ課,,,,【開館時間】8:30～17:00 【休館日】年末年始,,,,
222127,0000010969,静岡県,焼津市,大井川河川敷運動公園,オオイガワカセンジキウンドウコウエン,,,焼津市西島538,,34.795914,138.266454,,,,スポーツ課,,,,【開館時間】8:30～17:00 【休館日】年末年始,,,,
222127,0000010970,静岡県,焼津市,三区コミュニティ防災センター,サンクコミュニティボウサイセンター,,,焼津市本町2-13-18,,34.86593013,138.3232413,,,,地域防災課,,,,【開館時間】8:30-21:00,,,,
222127,0000010971,静岡県,焼津市,坂本コミュニティ防災センター,サカモトコミュニティボウサイセンター,,,焼津市坂本971-5,,34.8923823,138.3114415,,,,地域防災課,,,,【開館時間】8:30-21:00,,,,
222127,0000010972,静岡県,焼津市,高新田地区コミュニティ防災センター,タカシンデンチクコミュニティボウサイセンター,,,焼津市高新田1853-1,,34.79414961,138.3069601,,,,地域防災課,,,,【開館時間】8:30～21:00 【休館日】３,,,,
222127,0000010973,静岡県,焼津市,旭町保育園,アサヒチョウホイクエン,,,焼津市駅北3-17-10,,34.87632488,138.3138048,,,,保育・幼稚園課,,,,【開館時間】7:30～19:00 【休館日】日曜日、国民の祝日に関する法律に規定する休日,,,,
222127,0000010974,静岡県,焼津市,小川地域交流センター,コガワチイキコウリュウセンター,,,焼津市小川2724-1,,34.848977,138.313116,,,,スマイルライフ推進課,,,,【開館時間】9:00～21:30 【休館日】月曜日,,,,
222127,0000010977,静岡県,焼津市,ワークプラザ,ワークプラザ,,,焼津市宗高949-1,,34.80564909,138.2866904,,,,商工課,,,,【開館時間】8時30分　～　17時15分 【休館日】土曜日、日曜日、祝日,,,,
222127,0000010978,静岡県,焼津市,鍛冶島公会堂,カジシマコウカイドウ,,,焼津市惣右衛門278-1,,34.8174999,138.306401,,,,総務課,,,,【開館時間】9:00～21:00 【休館日】なし,,,,
222127,0000010979,静岡県,焼津市,焼津消防署東分署,ヤイヅショウボウショヒガシブンショ,,,焼津市焼津6-5-18,,34.864029,138.318054,,,,管財課,,,,,,,,
222127,0000010980,静岡県,焼津市,消防団第３分団車庫・詰所,ショウボウダンダイサンブンダンシャコツメショ,,,焼津市本町2-1-17,,34.868132,138.321273,,,,地域防災課,,,,,,,,
222127,0000010984,静岡県,焼津市,惣右衛門下公会堂,ソウエモンシタコウカイドウ,,,焼津市惣右衛門945,,34.81729137,138.3178166,,,,総務課,,,,【開館時間】9:00～21:00 【休館日】なし,,,,
222127,0000010985,静岡県,焼津市,藤守地区学習等供用施設,フジモリチクガクシュウトウヘイヨウシセツ,,,焼津市藤守387,,34.808012,138.306393,,,,総務課,,,,【開館時間】9:00～21:00 【休館日】なし,,,,
222127,0000010988,静岡県,焼津市,和田地域交流センター,ワダチイキコウリュウセンター,,,焼津市田尻1992-2,,34.827242,138.320979,,,,スマイルライフ推進課,,,,【開館時間】9:00～21：30 【休館日】月曜日,,,,
222127,0000010989,静岡県,焼津市,豊田地域交流センター,トヨダチイキコウリュウセンター,,,焼津市小屋敷258-1,,34.86324139,138.2893536,,,,スマイルライフ推進課,,,,【開館時間】9:00～21:30 【休館日】月曜日,,,,
222127,0000010991,静岡県,焼津市,柳新屋団地,ヤナギアラヤダンチ,,,焼津市柳新屋603-1,,34.85459863,138.2881318,,,,住宅・公共建築課,,,,,,,,
